,x,y,most_significant_source,fire_risk
211,-122.81875,46.556527777777774,aspect,2.4141
212,-122.8184722222222,46.615138888888886,prec,1.949
213,-122.8184722222222,46.61486111111111,ndvi,4.2981
214,-122.8184722222222,46.61458333333333,ndvi,4.658100000000001
215,-122.8184722222222,46.61430555555555,ndvi,4.4071
216,-122.8184722222222,46.61402777777778,ndvi,4.1671000000000005
217,-122.8184722222222,46.61375,ndvi,4.1671000000000005
218,-122.8184722222222,46.61347222222222,ndvi,4.1671000000000005
219,-122.8184722222222,46.61319444444444,ndvi,4.1671000000000005
220,-122.8184722222222,46.61291666666666,ndvi,4.0471
221,-122.8184722222222,46.61263888888889,ndvi,4.4071
222,-122.8184722222222,46.61236111111111,ndvi,4.0471
223,-122.8184722222222,46.61208333333333,ndvi,4.783100000000001
224,-122.8184722222222,46.61180555555556,ndvi,4.658100000000001
225,-122.8184722222222,46.61152777777777,ndvi,4.418100000000001
226,-122.8184722222222,46.61125,ndvi,4.418100000000001
227,-122.8184722222222,46.610972222222216,ndvi,4.2981
228,-122.8184722222222,46.61069444444444,ndvi,4.783100000000001
229,-122.8184722222222,46.610416666666666,ndvi,4.9091000000000005
230,-122.8184722222222,46.61013888888888,ndvi,5.1601
231,-122.8184722222222,46.60986111111111,ndvi,5.286100000000001
232,-122.8184722222222,46.60958333333333,ndvi,5.1601
233,-122.8184722222222,46.60930555555555,ndvi,4.7941
234,-122.8184722222222,46.609027777777776,ndvi,4.543100000000001
235,-122.8184722222222,46.60875,ndvi,4.783100000000001
236,-122.8184722222222,46.60847222222222,ndvi,4.783100000000001
237,-122.8184722222222,46.60819444444444,ndvi,4.658100000000001
238,-122.8184722222222,46.60791666666666,ndvi,4.658100000000001
239,-122.8184722222222,46.607638888888886,ndvi,4.4071
240,-122.8184722222222,46.60736111111111,ndvi,4.0471
241,-122.8184722222222,46.60708333333333,ndvi,4.0471
242,-122.8184722222222,46.60680555555555,ndvi,4.0471
243,-122.8184722222222,46.60652777777778,ndvi,4.2981
244,-122.8184722222222,46.60625,ndvi,4.2981
245,-122.8184722222222,46.60597222222222,ndvi,4.1671000000000005
246,-122.8184722222222,46.60569444444444,ndvi,4.0471
247,-122.8184722222222,46.60541666666666,ndvi,4.1671000000000005
248,-122.8184722222222,46.60513888888889,ndvi,4.0421000000000005
249,-122.8184722222222,46.60486111111111,ndvi,3.7971
250,-122.8184722222222,46.60458333333333,ndvi,3.9171
251,-122.8184722222222,46.60430555555556,ndvi,3.9061
252,-122.8184722222222,46.60402777777777,ndvi,3.9061
253,-122.8184722222222,46.60375,ndvi,3.5461
254,-122.8184722222222,46.60347222222222,ndvi,3.6661
255,-122.8184722222222,46.60319444444444,ndvi,3.4211
256,-122.8184722222222,46.602916666666665,ndvi,3.4211
257,-122.8184722222222,46.60263888888888,ndvi,3.5411
258,-122.8184722222222,46.60236111111111,ndvi,3.5411
259,-122.8184722222222,46.60208333333333,ndvi,3.741
